X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.156771,47.362985,0,0,102,16,,,,,,,,,,,,,,,,,,,,,,
-3.156911,47.363204,0,0,103,16,2023/05/18 19:42:43+02,,,,,,,,,,,,,,,,,,,,,
-3.156975,47.363426,0,0,104,14,2023/05/18 19:42:26+02,,,,,,,,,,,,,,,,,,,,,
-3.15722,47.363587,0,0,105,15,2023/05/18 19:42:10+02,,,,,,,,,,,,,,,,,,,,,
-3.157394,47.363794,0,0,106,14,2023/05/18 19:41:45+02,,,,,,,,,,,,,,,,,,,,,
-3.157521,47.363585,0,0,107,19,2023/05/18 19:41:26+02,,,,,,,,,,,,,,,,,,,,,
-3.157631,47.363369,0,0,108,23,2023/05/18 19:40:18+02,,,,,,,,,,,,,,,,,,,,,
-3.157951,47.363447,0,0,109,22,2023/05/18 19:39:55+02,,,,,,,,,,,,,,,,,,,,,
-3.158285,47.363509,0,0,110,22,2023/05/18 19:39:36+02,,,,,,,,,,,,,,,,,,,,,
-3.15861,47.363565,0,0,111,18,2023/05/18 19:38:36+02,,,,,,,,,,,,,,,,,,,,,
-3.158951,47.36355,0,0,112,15,2023/05/18 19:38:16+02,,,,,,,,,,,,,,,,,,,,,
-3.159286,47.363592,0,0,113,12,2023/05/18 19:37:54+02,,,,,,,,,,,,,,,,,,,,,
-3.159615,47.363525,0,0,114,9,2023/05/18 19:37:32+02,,,,,,,,,,,,,,,,,,,,,
-3.159284,47.363134,0,0,115,15,2023/05/18 19:36:36+02,,,,,,,,,,,,,,,,,,,,,
-3.159123,47.362934,0,0,116,17,2023/05/18 19:36:18+02,,,,,,,,,,,,,,,,,,,,,
-3.158896,47.362752,0,0,117,19,2023/05/18 19:36:00+02,,,,,,,,,,,,,,,,,,,,,
-3.15874,47.362587,0,0,118,21,,,,,,,,,,,,,,,,,,,,,,
-3.158873,47.362488,0,0,119,19,2023/05/18 19:34:08+02,,,,,,,,,,,,,,,,,,,,,
-3.159136,47.362352,0,0,120,18,2023/05/18 19:33:45+02,,,,,,,,,,,,,,,,,,,,,
-3.159433,47.362235,0,0,121,17,2023/05/18 19:33:27+02,,,,,,,,,,,,,,,,,,,,,
-3.159543,47.362151,0,0,122,17,,,,,,,,,,,,,,,,,,,,,,
-3.159739,47.362097,0,0,123,17,2023/05/18 19:33:10+02,,,,,,,,,,,,,,,,,,,,,
-3.160095,47.362145,0,0,124,14,2023/05/18 19:32:52+02,,,,,,,,,,,,,,,,,,,,,
-3.160433,47.362114,0,0,125,13,2023/05/18 19:32:31+02,,,,,,,,,,,,,,,,,,,,,
-3.160568,47.362037,0,0,126,14,,,,,,,,,,,,,,,,,,,,,,
-3.160746,47.362039,0,0,127,13,2023/05/18 19:32:10+02,,,,,,,,,,,,,,,,,,,,,
-3.161073,47.361995,0,0,128,13,2023/05/18 19:31:46+02,,,,,,,,,,,,,,,,,,,,,
-3.161149,47.361894,0,0,129,15,,,,,,,,,,,,,,,,,,,,,,
-3.161233,47.361918,0,0,130,14,,,,,,,,,,,,,,,,,,,,,,
-3.161335,47.361851,0,0,131,16,2023/05/18 19:31:05+02,,,,,,,,,,,,,,,,,,,,,
-3.161393,47.361792,0,0,132,17,,,,,,,,,,,,,,,,,,,,,,
-3.161512,47.361778,0,0,133,17,,,,,,,,,,,,,,,,,,,,,,
-3.161679,47.361844,0,0,134,16,2023/05/18 19:30:40+02,,,,,,,,,,,,,,,,,,,,,
-3.161992,47.361824,0,0,135,15,2023/05/18 19:30:03+02,,,,,,,,,,,,,,,,,,,,,
-3.162326,47.3618,0,0,136,15,2023/05/18 19:29:43+02,,,,,,,,,,,,,,,,,,,,,
-3.162633,47.361697,0,0,137,16,2023/05/18 19:28:35+02,,,,,,,,,,,,,,,,,,,,,
-3.162784,47.361637,0,0,138,16,,,,,,,,,,,,,,,,,,,,,,
-3.16291,47.361677,0,0,139,15,2023/05/18 19:28:13+02,,,,,,,,,,,,,,,,,,,,,
-3.163148,47.361514,0,0,140,15,2023/05/18 19:27:20+02,,,,,,,,,,,,,,,,,,,,,
-3.163486,47.361492,0,0,141,15,2023/05/18 19:26:48+02,,,,,,,,,,,,,,,,,,,,,
-3.163762,47.361355,0,0,142,16,2023/05/18 19:26:24+02,,,,,,,,,,,,,,,,,,,,,
-3.163921,47.361457,0,0,143,15,,,,,,,,,,,,,,,,,,,,,,
-3.164118,47.361517,0,0,144,15,2023/05/18 19:25:51+02,,,,,,,,,,,,,,,,,,,,,
-3.164287,47.361501,0,0,145,16,,,,,,,,,,,,,,,,,,,,,,
-3.164455,47.361564,0,0,146,16,2023/05/18 19:25:30+02,,,,,,,,,,,,,,,,,,,,,
-3.164753,47.361674,0,0,147,17,2023/05/18 19:25:13+02,,,,,,,,,,,,,,,,,,,,,
-3.16494,47.361671,0,0,148,18,,,,,,,,,,,,,,,,,,,,,,
-3.165108,47.361716,0,0,149,18,2023/05/18 19:24:56+02,,,,,,,,,,,,,,,,,,,,,
-3.165418,47.361755,0,0,150,17,2023/05/18 19:24:39+02,,,,,,,,,,,,,,,,,,,,,
-3.166026,47.361937,0,0,151,12,2023/05/18 19:23:09+02,,,,,,,,,,,,,,,,,,,,,
-3.16636,47.361987,0,0,152,11,2023/05/18 19:22:47+02,,,,,,,,,,,,,,,,,,,,,
-3.166538,47.36201,0,0,153,10,,,,,,,,,,,,,,,,,,,,,,
-3.166691,47.361945,0,0,154,11,2023/05/18 19:22:26+02,,,,,,,,,,,,,,,,,,,,,
-3.166939,47.361789,0,0,155,12,2023/05/18 19:22:08+02,,,,,,,,,,,,,,,,,,,,,
-3.167088,47.361592,0,0,156,14,2023/05/18 19:21:43+02,,,,,,,,,,,,,,,,,,,,,
-3.167274,47.361577,0,0,157,13,,,,,,,,,,,,,,,,,,,,,,
-3.167453,47.361499,0,0,158,13,2023/05/18 19:21:22+02,,,,,,,,,,,,,,,,,,,,,
-3.167553,47.361397,0,0,159,14,,,,,,,,,,,,,,,,,,,,,,
-3.167668,47.361358,0,0,160,15,,,,,,,,,,,,,,,,,,,,,,
-3.167758,47.361407,0,0,161,14,2023/05/18 19:20:59+02,,,,,,,,,,,,,,,,,,,,,
-3.167843,47.361515,0,0,162,13,,,,,,,,,,,,,,,,,,,,,,
-3.16799,47.361572,0,0,163,12,2023/05/18 19:20:30+02,,,,,,,,,,,,,,,,,,,,,
-3.16831,47.361588,0,0,164,12,2023/05/18 19:20:12+02,,,,,,,,,,,,,,,,,,,,,
-3.168651,47.36153,0,0,165,13,2023/05/18 19:19:54+02,,,,,,,,,,,,,,,,,,,,,
-3.169066,47.361446,0,0,166,15,2023/05/18 19:19:36+02,,,,,,,,,,,,,,,,,,,,,
-3.169646,47.36151,0,0,167,11,2023/05/18 19:18:57+02,,,,,,,,,,,,,,,,,,,,,
-3.169986,47.361462,0,0,168,10,2023/05/18 19:18:39+02,,,,,,,,,,,,,,,,,,,,,
-3.170485,47.361162,0,0,169,10,2023/05/18 19:17:59+02,,,,,,,,,,,,,,,,,,,,,
-3.170438,47.360929,0,0,170,14,2023/05/18 19:17:28+02,,,,,,,,,,,,,,,,,,,,,
